2  9  6  4  7  8  5  3  1  
4  3  1  5  2  9  6  8  7  
7  8  5  3  1  6  2  4  9  
1  6  9  2  3  4  8  7  5  
8  2  7  9  5  1  3  6  4  
3  5  4  6  8  7  9  1  2  
9  7  2  8  4  3  1  5  6  
6  1  8  7  9  5  4  2  3  
5  4  3  1  6  2  7  9  8  
SUCCESS!!


#QUESTION 158
matrix = [
    [0,0,6,  0,0,0,  5,0,0],
    [0,3,0,  0,2,0,  0,8,0],
    [0,8,0,  0,1,0,  0,4,0],

    [1,0,9,  2,0,4,  8,0,5],
    [0,2,0,  0,0,0,  0,6,0],
    [3,0,4,  6,0,7,  9,0,2],

    [0,7,0,  0,4,0,  0,5,0],
    [0,1,0,  0,9,0,  0,2,0],
    [0,0,3,  0,0,0,  7,0,0]
]
